MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 09,Brooklyn,02,2473.36,418.92,280.32,3,302
2014 / 09,Queens,06,2848.91,414.07,271.65,4,406
2014 / 09,Queens,03,4852.8,353.38,337.17,4,403
2014 / 09,Bronx,11,3031.91,288.97,256.35,2,211
2014 / 09,Bronx,09,3709.85,177.22,234.97,2,209
2014 / 09,Queens,11,3054.4,513.37,356.34,4,411
2014 / 09,Staten Island,03,5564.04,746.78,623.27,5,503
2014 / 09,Bronx,04,4149.55,198.91,230.93,2,204
2014 / 09,Queens,04,4246.14,328.3,263.28,4,404
2014 / 09,Brooklyn,11,4994.98,615.32,412.6,3,311
2014 / 09,Manhattan,03,2999.48,297.81,241.06,1,103
2014 / 09,Brooklyn,06,2192.85,547.24,354.85,3,306
2014 / 09,Brooklyn,16,1970.5,89.33,99.97,3,316
2014 / 10,Queens,12,6468.5,482.03,600.81,4,412
2014 / 10,Brooklyn,17,4211.66,312.55,337.82,3,317
2014 / 10,Manhattan,08,5676.3,1235.01,748.62,1,108
2014 / 10,Bronx,10,2457.55,329.3,301.66,2,210
2014 / 10,Queens,09,4118.61,430.64,396.34,4,409
2014 / 10,Bronx,03,1819.19,99.94,110.76,2,203
2014 / 10,Manhattan,07,5366.57,1182.75,698.72,1,107
2014 / 10,Manhattan,09,2518.64,288.75,228.88,1,109
2014 / 10,Manhattan,05,1347.39,270.52,167.95,1,105
2014 / 10,Staten Island,03,5715.76,867.75,611.09,5,503
2014 / 10,Brooklyn,10,3331.75,555.37,364.85,3,310
2014 / 10,Queens,02,2895.81,403.7,295.26,4,402
2014 / 10,Bronx,08,2407.93,337.79,285.47,2,208
2014 / 10,Queens,07,6683.48,854.24,568.75,4,407
2014 / 10,Bronx,12,3735.4,360.56,426.21,2,212
2014 / 10,Manhattan,04,2393.76,506.02,382.52,1,104
2014 / 10,Queens,06,2852.75,445.43,293.31,4,406
2014 / 10,Brooklyn,04,3049.97,199.83,246.99,3,304
2014 / 10,Brooklyn,09,3214.45,252.35,187.87,3,309
2014 / 10,Manhattan,12,5044.8,472.83,470.8,1,112
2014 / 10,Manhattan,02,2149.17,464.97,298.97,1,102
